dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000242,media_manifest,redistribution_allowed,string,,Column redistribution_allowed in media_manifest.,False,False,,
dict_000243,media_manifest,derivative_allowed,string,,Column derivative_allowed in media_manifest.,False,False,,
dict_000244,media_manifest,commercial_use_allowed,string,,Column commercial_use_allowed in media_manifest.,False,False,,
dict_000245,media_manifest,alt_text,string,,Column alt_text in media_manifest.,False,False,,
dict_000246,media_manifest,caption,string,,Column caption in media_manifest.,False,False,,
dict_000247,media_manifest,verification_status,string,,Column verification_status in media_manifest.,False,False,,
dict_000248,media_manifest,review_date,string,,Column review_date in media_manifest.,False,False,,
dict_000249,media_links,mlink_id,string,,Column mlink_id in media_links.,True,True,,
dict_000250,media_links,media_id,string,,Column media_id in media_links.,False,False,,
dict_000251,media_links,content_type,string,,Column content_type in media_links.,False,False,,
dict_000252,media_links,content_id,string,,Column content_id in media_links.,False,False,,
dict_000253,media_links,usage_role,string,,Column usage_role in media_links.,False,False,,
dict_000254,media_links,display_order,string,,Column display_order in media_links.,False,False,,
dict_000255,content_links,link_id,string,,Column link_id in content_links.,True,True,,
dict_000256,content_links,from_type,string,,Column from_type in content_links.,False,False,,
dict_000257,content_links,from_id,string,,Column from_id in content_links.,False,False,,
dict_000258,content_links,to_type,string,,Column to_type in content_links.,False,False,,
dict_000259,content_links,to_id,string,,Column to_id in content_links.,False,False,,
dict_000260,content_links,relation_type,string,,Column relation_type in content_links.,False,False,,
dict_000261,content_links,sort_order,string,,Column sort_order in content_links.,False,False,,
dict_000262,content_reference_links,cref_id,string,,Column cref_id in content_reference_links.,True,True,,
dict_000263,content_reference_links,content_type,string,,Column content_type in content_reference_links.,False,False,,
dict_000264,content_reference_links,content_id,string,,Column content_id in content_reference_links.,False,False,,
dict_000265,content_reference_links,reference_id,string,,Column reference_id in content_reference_links.,False,False,,
dict_000266,content_reference_links,pinpoint_text,string,,Column pinpoint_text in content_reference_links.,False,False,,
dict_000267,content_reference_links,citation_priority,string,,Column citation_priority in content_reference_links.,False,False,,
dict_000268,protocol_overrides,override_id,string,,Column override_id in protocol_overrides.,True,True,,
dict_000269,protocol_overrides,jurisdiction_type,string,,Column jurisdiction_type in protocol_overrides.,False,False,,
dict_000270,protocol_overrides,jurisdiction_name,string,,Column jurisdiction_name in protocol_overrides.,False,False,,
dict_000271,protocol_overrides,content_type,string,,Column content_type in protocol_overrides.,False,False,,
dict_000272,protocol_overrides,content_id,string,,Column content_id in protocol_overrides.,False,False,,
dict_000273,protocol_overrides,override_type,string,,Column override_type in protocol_overrides.,False,False,,
dict_000274,protocol_overrides,override_text,string,,Column override_text in protocol_overrides.,False,False,,
dict_000275,protocol_overrides,effective_date,string,,Column effective_date in protocol_overrides.,False,False,,
dict_000276,protocol_overrides,expiry_date,string,,Column expiry_date in protocol_overrides.,False,False,,
dict_000277,protocol_overrides,approval_reference_id,string,,Column approval_reference_id in protocol_overrides.,False,False,,
dict_000278,protocol_overrides,active,string,,Column active in protocol_overrides.,False,False,,
dict_000279,slide_inventory,slide_file_id,string,,Column slide_file_id in slide_inventory.,True,True,,
dict_000280,slide_inventory,source_path,string,,Column source_path in slide_inventory.,False,False,,
dict_000281,slide_inventory,file_name,string,,Column file_name in slide_inventory.,False,False,,
dict_000282,slide_inventory,file_type,string,,Column file_type in slide_inventory.,False,False,,
dict_000283,slide_inventory,last_modified,string,,Column last_modified in slide_inventory.,False,False,,
dict_000284,slide_inventory,slide_count,string,,Column slide_count in slide_inventory.,False,False,,
dict_000285,slide_inventory,checksum_sha256,string,,Column checksum_sha256 in slide_inventory.,False,False,,
dict_000286,slide_inventory,rights_status,string,,Column rights_status in slide_inventory.,False,False,,
dict_000287,slide_inventory,ingest_status,string,,Column ingest_status in slide_inventory.,False,False,,
dict_000288,slide_mapping,slide_map_id,string,,Column slide_map_id in slide_mapping.,True,True,,
dict_000289,slide_mapping,slide_file_id,string,,Column slide_file_id in slide_mapping.,False,False,,
dict_000290,slide_mapping,slide_number,string,,Column slide_number in slide_mapping.,False,False,,
dict_000291,slide_mapping,extracted_title,string,,Column extracted_title in slide_mapping.,False,False,,
dict_000292,slide_mapping,extracted_topics,string,,Column extracted_topics in slide_mapping.,False,False,,
dict_000293,slide_mapping,mapped_taxonomy_id,string,,Column mapped_taxonomy_id in slide_mapping.,False,False,,
dict_000294,slide_mapping,mapped_content_type,string,,Column mapped_content_type in slide_mapping.,False,False,,
dict_000295,slide_mapping,mapped_content_id,string,,Column mapped_content_id in slide_mapping.,False,False,,
dict_000296,slide_mapping,confidence_score,string,,Column confidence_score in slide_mapping.,False,False,,
dict_000297,slide_mapping,human_review_required,string,,Column human_review_required in slide_mapping.,False,False,,
